x_position,signal
0,168
1,237.375
2,241
3,236
4,233.625
5,255.353
6,261.215
7,265.269
8,267.678
9,268.599
10,268.187
11,266.591
12,263.949
13,260.394
14,256.048
15,251.025
16,245.429
17,239.357
18,223
19,219.75
20,216.125
21,213.125
22,212.375
23,197.257
24,189.867
25,182.495
26,177.375
27,173.75
28,166.875
29,162
30,151.875
31,137.875
32,131.625
33,122
34,111.25
35,115.378
36,109.651
37,104.13
38,104.25
39,102.625
40,92
41,86.375
42,83.625
43,77.125
44,69.125
45,59.5
46,55.5
47,48.625
0,118
1,184.375
2,205
3,210.5
4,210.125
5,211.375
6,208.5
7,203.125
8,204.25
9,200.875
10,210.389
11,206.081
12,201.261
13,196.058
14,190.575
15,184.895
16,179.087
17,186.75
18,179.5
19,169.75
20,161.125
21,155.125
22,152.875
23,146.625
24,133.037
25,127.7
26,122.502
27,121.25
28,119.875
29,112.5
30,102.875
31,91.375
32,88.125
33,80.5
34,72.75
35,82.458
36,78.759
37,75.203
38,77.75
39,76.125
40,68
41,63.375
42,59.125
43,54.625
44,49.125
45,41
46,38.5
47,33.125
0,70.5
1,107.375
2,130
3,143.5
4,144.125
5,146.875
6,144.5
7,141.625
8,142.75
9,142.069
10,139.045
11,135.606
12,131.864
13,127.909
14,123.809
15,119.622
16,115.391
17,115.25
18,111.5
19,103.75
20,96.625
21,90.125
22,87.875
23,86.844
24,83.108
25,79.481
26,75.969
27,73.25
28,73.375
29,71.5
30,65.375
31,56.375
32,54.125
33,49.5
34,44.25
35,49.553
36,47.171
37,44.891
38,52.25
39,49.625
40,46
41,42.375
42,38.625
43,34.125
44,27.625
45,21
46,21
47,18.125
0,36
1,60.375
2,76.5
3,81.5
4,80.125
5,81.875
6,80
7,79.125
8,81.75
9,77.375
10,73.086
11,71.003
12,68.838
13,66.622
14,64.383
15,62.14
16,59.908
17,55.25
18,51.5
19,45.25
20,42.625
21,41.625
22,47.286
23,45.36
24,43.492
25,41.682
26,39.932
27,38.241
28,40.875
29,42.5
30,37.875
31,33.875
32,32.625
33,29
34,24.25
35,26.767
36,25.572
37,24.426
38,30.75
39,30.125
40,28
41,24.875
42,23.125
43,20.125
44,14.625
45,9
46,9
47,8.125
0,96
1,119
2,103
3,94
4,80
5,62
6,43
7,25
