shot,p_bump,a4_nn,a4_global_best,resid_at_best,resid_at_15,in_window_10_20
10084_cv,0.7781647443771362,30.101313,24.0,0.0017120720585808158,0.00173042097594589,False
10084_ch,0.8119263648986816,37.86141,49.0,0.004341823514550924,0.005027620121836662,False
11705_cv,0.9999980926513672,17.735317,23.0,0.003404617542400956,0.0034346298780292273,False
11705_ch,0.9971736669540405,24.883188,37.0,0.0034591732546687126,0.003598520066589117,False
11707_cv,0.8364900350570679,17.896088,20.0,0.002477775327861309,0.0024937987327575684,True
11707_ch,0.985197901725769,33.850945,32.0,0.0027175587601959705,0.0028252534102648497,False
11716_cv,0.9817014932632446,27.43642,28.0,0.0020169676281511784,0.0022749709896743298,False
11716_ch,0.9994344711303711,32.150124,45.0,0.0019902654457837343,0.002438931493088603,False
11733_cv,0.8708532452583313,34.665936,49.0,0.0031524242367595434,0.0037747202441096306,False
11733_ch,0.9903863072395325,36.20829,49.0,0.0032359163742512465,0.0038889688439667225,False
11698_cv,0.8877255320549011,28.129017,13.0,0.002032896736636758,0.0020395000465214252,True
11698_ch,0.9877729415893555,43.672554,41.0,0.0020788870751857758,0.0024557008873671293,False
