shot,proc_vector_peak_mev,proc_vector_peak_frac,proc_vector_resid_pct,proc_vector_ch_peak_mev,proc_vector_ch_peak_frac,proc_vector_ch_resid_pct
10084,42.5,0.3577,26.5,,,
11674,42.5,0.4196,52.8,47.5,0.5813,47.4
11676,42.5,0.8121,33.8,48.5,0.5114,28.8
11678,0.5,0.5311,39.7,47.5,0.5326,42.3
11680,0.5,0.9052,62.0,48.5,0.4579,27.3
11682,42.5,0.6384,30.8,47.5,0.3528,34.1
11684,,,,48.5,0.7662,33.0
11686,42.5,0.5499,41.4,,,
11692,42.5,0.8815,31.6,47.5,0.5365,28.4
11694,0.5,0.7217,35.7,47.5,0.7546,39.3
11696,0.5,0.9975,54.9,47.5,0.4895,59.8
11698,0.5,0.7347,26.6,47.5,0.6502,23.5
11705,0.5,0.8856,51.3,47.5,0.5586,39.6
11707,0.5,0.9902,72.5,47.5,0.7298,32.0
11709,25.5,0.8313,86.2,23.5,0.953,73.6
11711,44.5,0.7307,49.8,42.5,0.2841,33.4
11713,42.5,0.7356,28.9,48.5,0.5554,21.6
11715,49.5,0.7524,29.2,49.5,0.673,19.6
11716,49.5,0.9144,28.2,49.5,0.9452,26.4
11719,19.5,0.9188,40.9,49.5,0.4968,24.7
11733,25.5,0.996,58.7,,,
11749,23.5,0.8505,59.1,25.5,0.7869,42.1
11751,26.5,0.9424,96.9,19.5,0.9992,75.0
11753,42.5,0.8718,32.2,47.5,0.6622,34.9
