gain,read_frac,mult_frac,tune_excess,holdout_excess,tune_resid,secs
2.0,0.03,0.0,1.14,1.49,38.69,247.0
2.0,0.03,0.03,1.12,1.69,38.66,278.0
2.0,0.05,0.0,1.1,1.84,38.65,248.4
2.0,0.05,0.03,1.07,1.66,38.62,272.8
2.0,0.07,0.0,1.27,1.63,38.82,271.5
2.0,0.07,0.03,0.92,1.17,38.47,316.6
2.0,0.1,0.0,0.77,0.96,38.32,322.3
2.0,0.1,0.03,0.95,1.4,38.5,319.4
3.0,0.03,0.0,1.91,2.16,39.41,313.5
3.0,0.03,0.03,1.01,1.44,38.52,337.3
3.0,0.05,0.0,1.4,2.18,38.9,288.7
3.0,0.05,0.03,1.22,1.65,38.77,297.0
3.0,0.07,0.0,1.09,1.15,38.64,306.2
3.0,0.07,0.03,1.13,1.43,38.68,330.9
3.0,0.1,0.0,0.95,1.29,38.5,320.0
3.0,0.1,0.03,1.43,1.63,38.98,305.6
4.0,0.03,0.0,1.14,1.98,38.68,331.5
4.0,0.03,0.03,1.28,1.68,38.83,322.8
4.0,0.05,0.0,1.47,2.01,39.02,321.6
4.0,0.05,0.03,1.26,1.8,38.77,329.1
4.0,0.07,0.0,1.02,1.19,38.57,307.3
4.0,0.07,0.03,0.94,1.41,38.49,327.3
4.0,0.1,0.0,0.96,1.48,38.51,316.0
4.0,0.1,0.03,1.07,1.57,38.62,315.2
5.0,0.03,0.0,1.3,1.78,38.82,292.7
5.0,0.03,0.03,1.72,2.24,39.25,329.7
5.0,0.05,0.0,1.16,1.41,38.71,301.7
5.0,0.05,0.03,1.21,2.16,38.73,315.5
5.0,0.07,0.0,1.15,1.55,38.7,322.7
5.0,0.07,0.03,1.39,1.54,38.94,317.9
5.0,0.1,0.0,0.8,1.41,38.35,321.3
5.0,0.1,0.03,0.89,1.36,38.44,299.0
6.0,0.03,0.0,1.3,2.26,38.8,316.5
6.0,0.03,0.03,1.28,1.45,38.83,291.2
6.0,0.05,0.0,1.61,2.28,39.16,322.5
6.0,0.05,0.03,1.16,1.67,38.71,301.1
6.0,0.07,0.0,1.42,1.59,38.96,298.6
6.0,0.07,0.03,1.13,1.7,38.68,317.7
6.0,0.1,0.0,0.89,1.2,38.44,315.9
6.0,0.1,0.03,0.93,1.23,38.48,337.4
