shot,proc_vector_peak_mev,proc_vector_peak_frac,proc_vector_resid_pct,proc_vector_ch_peak_mev,proc_vector_ch_peak_frac,proc_vector_ch_resid_pct
10084,0.5,0.0839,26.9,,,
11674,0.5,0.3843,42.2,0.5,0.2328,44.5
11676,0.5,0.0887,33.3,0.5,0.2042,29.5
11678,0.5,0.1244,36.4,0.5,0.1902,41.0
11680,0.5,0.0903,26.7,0.5,0.1896,25.8
11682,0.5,0.1287,30.6,0.5,0.211,34.4
11684,,,,0.5,0.1656,34.4
11686,0.5,0.1427,37.2,,,
11692,0.5,0.0844,30.1,0.5,0.2424,28.3
11694,0.5,0.0964,34.9,0.5,0.2113,37.9
11696,0.5,0.4314,50.6,0.5,0.4576,54.0
11698,0.5,0.0981,26.1,0.5,0.2247,22.8
11705,0.5,0.2971,38.0,0.5,0.2986,36.0
11707,0.5,0.2056,29.6,0.5,0.2341,28.6
11709,38.5,0.0588,82.7,42.5,0.0678,67.5
11711,0.5,0.0569,52.5,0.5,0.1037,34.6
11713,0.5,0.1619,29.2,0.5,0.2198,21.5
11715,0.5,0.1754,28.5,0.5,0.2539,18.8
11716,0.5,0.1643,27.0,0.5,0.246,26.9
11719,0.5,0.1046,39.3,0.5,0.2055,26.3
11733,0.5,0.06,57.4,,,
11749,0.5,0.0665,56.2,0.5,0.0992,40.4
11751,38.5,0.0665,92.8,38.5,0.0415,69.7
11753,0.5,0.0755,30.3,0.5,0.2046,33.9
