suite,method,wasserstein_mev,total_variation,log_rms,hi10_frac_err,resid_pct,resid_unsat_pct,n_eff_bins,seconds,a4_err,n_dof,n_shots,a4_1sig_coverage
real,CNN n50,,,,,32.80727514671624,32.66507720533198,11.666580163689947,0.04993440000544069,,50.0,14,
real,DNN classifier n50,,,,,49.00099193360743,50.7802006717403,1.000002471671028,0.04743959999905201,,50.0,14,
real,DNN spectrum n20,,,,,48.483169524788586,50.86555537609456,2.7777777827926986,0.04694024999480462,,20.0,14,
real,PFF ensemble,,,,,33.79914024785954,33.79914024785954,13.662874170206708,0.23633590000099503,,6.0,14,
real,TSVD_NN,,,,,30.045181711599483,30.045181711599483,1.9461783881178438,0.006111500006227288,,7.0,14,
synthetic-inprior,CNN n50,1.1517092676935423,0.10597304803929783,0.9400197385987517,0.033684526418440296,30.362910708259463,30.362910708259463,9.026201004491625,0.14540964999468997,,50.0,300,
synthetic-inprior,DNN classifier n50,3.3060610003669026,0.8259504352824776,3.274678094222341,0.12051437090583836,38.531340446637984,38.531340446637984,1.000002471671028,0.14361695000116015,,50.0,300,
synthetic-inprior,DNN spectrum n20,3.0866072022983873,0.4855148135814023,3.05998742484305,0.12203647564034661,42.75858066858366,42.75858066858366,2.7777777784152757,0.14317085000220686,,20.0,300,
synthetic-inprior,PFF ensemble,0.752517595354167,0.0819969135350377,0.45944994479978,0.031005255746032273,31.251405469955053,31.251405469955053,7.3256454396638855,0.7360831999976654,2.0249524721910808,6.0,300,0.7533333333333333
synthetic-inprior,TSVD_NN,2.238702752834782,0.4371175323703268,2.6588205810555947,0.04868646841581364,29.89544416939909,29.89544416939909,4.582824979198263,0.028511600001365878,,7.0,300,
synthetic-inprior,truth (reference),0.0,0.0,0.0,0.0,30.75819582944887,30.75819582944887,7.879282380324033,0.0,,6.0,300,
synthetic-offprior,CNN n50,1.6208057812912697,0.1329700926442778,1.0035606673073554,0.044240151756781754,30.832978127232188,30.832978127232188,9.337891903146183,0.14214614999946207,,50.0,300,
synthetic-offprior,DNN classifier n50,4.346842170848202,0.849448002131159,3.274863587257266,0.15911491152666962,40.432410375381245,40.432410375381245,1.000002471671028,0.14452469999378081,,50.0,300,
synthetic-offprior,DNN spectrum n20,4.257465359726696,0.5906965121509782,3.0774059108598215,0.1633474082896782,44.83019375140575,44.83019375140575,2.777777777814511,0.13931789999332977,,20.0,300,
synthetic-offprior,PFF ensemble,1.281873388354382,0.10853660143406649,0.5970119347312168,0.03812852799878412,31.793048410499786,31.793048410499786,8.056101982300525,0.7203554500010796,9.354169982188852,6.0,300,0.23741007194244604
synthetic-offprior,TSVD_NN,2.6964896446777766,0.48503946290222477,2.715211014571219,0.055850986844345356,30.16661934660104,30.16661934660104,4.069424527782793,0.025943299995560665,,7.0,300,
synthetic-offprior,truth (reference),0.0,0.0,0.0,0.0,31.0765960590621,31.0765960590621,8.734990892085513,0.0,,6.0,300,
