peak_frac,early_frac,sat_frac,shot
0.02,0.5524400472640991,0.21,10084_cv
0.055,0.35268232226371765,0.0,10084_ch
0.025,0.7851924896240234,0.0,11696_cv
0.04,0.8670428395271301,0.0,11696_ch
0.025,0.692405104637146,0.0,11705_cv
0.04,0.6949830055236816,0.0,11705_ch
0.01,0.6279000043869019,0.0,11707_cv
0.045,0.6586806774139404,0.0,11707_ch
0.025,0.5232105851173401,0.255,11716_cv
0.045,0.5161651372909546,0.0,11716_ch
0.085,0.4163494408130646,0.46,11733_cv
0.045,0.40427613258361816,0.0,11733_ch
0.015,0.638702392578125,0.44,11698_cv
0.04,0.657281756401062,0.0,11698_ch
