peak_frac,early_frac,sat_frac,shot
0.025,0.6503968238830566,0.0,synth_0
0.005,0.6093461513519287,0.0,synth_1
0.015,0.6081281900405884,0.005,synth_2
0.01,0.6321380138397217,0.0,synth_3
0.015,0.6145942211151123,0.0,synth_4
0.0,0.6323480606079102,0.0,synth_5
0.005,0.5926918983459473,0.055,synth_6
0.025,0.5858727097511292,0.0,synth_7
0.025,0.5541277527809143,0.0,synth_8
0.02,0.6065247654914856,0.0,synth_9
0.005,0.6156810522079468,0.03,synth_10
0.01,0.5703322291374207,0.045,synth_11
0.02,0.6344704627990723,0.0,synth_12
0.005,0.5901345014572144,0.075,synth_13
0.0,0.6740177869796753,0.035,synth_14
0.015,0.6021209955215454,0.0,synth_15
0.035,0.5607525706291199,0.0,synth_16
0.01,0.6678622961044312,0.0,synth_17
0.005,0.6126683354377747,0.015,synth_18
0.01,0.612714409828186,0.0,synth_19
0.01,0.6122515797615051,0.0,synth_20
0.005,0.6271787881851196,0.0,synth_21
0.015,0.6244783401489258,0.005,synth_22
0.0,0.6038560271263123,0.09,synth_23
0.01,0.6806720495223999,0.0,synth_24
0.015,0.5902713537216187,0.02,synth_25
0.015,0.6079354286193848,0.0,synth_26
0.0,0.6098821759223938,0.0,synth_27
0.01,0.5945501327514648,0.0,synth_28
0.01,0.5698113441467285,0.03,synth_29
0.005,0.5997307300567627,0.04,synth_30
0.015,0.6265324354171753,0.0,synth_31
0.03,0.640903890132904,0.0,synth_32
0.02,0.6540104746818542,0.0,synth_33
0.02,0.5580195784568787,0.0,synth_34
0.01,0.647898256778717,0.0,synth_35
0.01,0.6321483254432678,0.0,synth_36
0.005,0.6318796277046204,0.0,synth_37
0.01,0.6307118535041809,0.0,synth_38
0.015,0.6011927723884583,0.0,synth_39
0.01,0.6300406455993652,0.015,synth_40
0.02,0.5785662531852722,0.0,synth_41
0.015,0.6535075306892395,0.0,synth_42
0.005,0.49339136481285095,0.085,synth_43
0.015,0.6328637599945068,0.0,synth_44
0.015,0.6228660345077515,0.0,synth_45
0.005,0.6311062574386597,0.0,synth_46
0.01,0.6308965086936951,0.0,synth_47
0.01,0.6053363084793091,0.01,synth_48
0.035,0.6242894530296326,0.0,synth_49
0.03,0.6134639978408813,0.0,synth_50
0.045,0.5552464127540588,0.0,synth_51
0.0,0.6256148815155029,0.045,synth_52
0.01,0.6516095399856567,0.0,synth_53
0.02,0.6307331323623657,0.0,synth_54
0.01,0.6709416508674622,0.0,synth_55
0.015,0.6020767688751221,0.0,synth_56
0.005,0.6410224437713623,0.03,synth_57
0.01,0.6371668577194214,0.0,synth_58
0.02,0.5773555040359497,0.0,synth_59
0.03,0.6218599677085876,0.0,synth_60
0.01,0.6272330284118652,0.0,synth_61
0.005,0.6365475654602051,0.03,synth_62
0.005,0.6875633597373962,0.0,synth_63
0.005,0.620956301689148,0.03,synth_64
0.025,0.6532288789749146,0.0,synth_65
0.035,0.6077159643173218,0.0,synth_66
0.01,0.646855890750885,0.0,synth_67
0.005,0.5719507932662964,0.06,synth_68
0.005,0.6574295163154602,0.0,synth_69
0.01,0.6179861426353455,0.0,synth_70
0.02,0.6434036493301392,0.0,synth_71
0.005,0.5939139723777771,0.01,synth_72
0.02,0.6119334697723389,0.0,synth_73
0.005,0.6279045939445496,0.0,synth_74
0.01,0.6318202018737793,0.0,synth_75
0.01,0.6404684782028198,0.0,synth_76
0.01,0.6259196400642395,0.0,synth_77
0.01,0.5807751417160034,0.055,synth_78
0.0,0.6072904467582703,0.08,synth_79
0.015,0.6097028255462646,0.0,synth_80
0.005,0.6195062398910522,0.065,synth_81
0.0,0.5952134132385254,0.0,synth_82
0.0,0.6876465678215027,0.0,synth_83
0.005,0.6064499616622925,0.065,synth_84
0.015,0.6511354446411133,0.0,synth_85
