gain,read_frac,mult_frac,tune_excess,holdout_excess,tune_resid,secs
0.25,0.0,0.0,5.94,33.26,43.49,159.5
0.25,0.0,0.03,3.63,28.06,41.18,162.6
0.25,0.0,0.06,3.83,2.29,41.38,167.5
0.25,0.005,0.0,4.34,4.71,41.86,174.8
0.25,0.005,0.03,3.64,1.83,41.19,272.8
0.25,0.005,0.06,2.45,1.32,40.0,245.3
0.25,0.01,0.0,3.54,3.03,41.09,263.8
0.25,0.01,0.03,5.03,4.41,42.58,179.0
0.25,0.01,0.06,1.28,1.51,38.83,166.9
0.25,0.02,0.0,1.76,2.23,39.31,166.1
0.25,0.02,0.03,1.28,1.66,38.81,167.0
0.25,0.02,0.06,1.32,1.91,38.83,168.7
0.25,0.05,0.0,1.51,1.94,39.04,164.5
0.25,0.05,0.03,0.89,1.37,38.41,171.5
0.25,0.05,0.06,1.74,1.73,39.29,171.3
0.5,0.0,0.0,4.96,22.25,42.51,173.8
0.5,0.0,0.03,12.87,33.75,50.41,171.0
0.5,0.0,0.06,5.87,28.13,43.42,164.7
0.5,0.005,0.0,2.15,2.46,39.66,145.4
0.5,0.005,0.03,5.29,2.91,42.76,144.8
0.5,0.005,0.06,6.28,3.61,43.83,147.6
0.5,0.01,0.0,1.65,1.15,39.2,148.1
0.5,0.01,0.03,1.42,1.57,38.97,145.8
0.5,0.01,0.06,7.0,7.48,44.55,149.3
0.5,0.02,0.0,2.35,2.08,39.9,147.7
0.5,0.02,0.03,1.56,2.22,39.07,146.7
0.5,0.02,0.06,1.3,1.67,38.83,147.8
0.5,0.05,0.0,0.92,1.81,38.44,147.1
0.5,0.05,0.03,0.99,1.18,38.54,145.7
0.5,0.05,0.06,1.66,1.68,39.21,148.2
1.0,0.0,0.0,8.21,31.12,45.75,147.0
1.0,0.0,0.03,13.68,39.18,51.23,146.0
1.0,0.0,0.06,4.16,3.28,41.71,147.3
1.0,0.005,0.0,10.66,4.7,48.21,148.0
1.0,0.005,0.03,8.1,5.39,45.65,150.2
1.0,0.005,0.06,2.26,1.29,39.81,145.9
1.0,0.01,0.0,5.35,2.12,42.9,146.9
1.0,0.01,0.03,3.98,4.0,41.52,150.0
1.0,0.01,0.06,1.98,3.76,39.5,146.8
1.0,0.02,0.0,1.27,1.67,38.8,148.1
1.0,0.02,0.03,1.11,1.87,38.61,150.1
1.0,0.02,0.06,1.43,1.85,38.95,148.4
1.0,0.05,0.0,1.16,1.68,38.71,144.8
1.0,0.05,0.03,1.25,2.02,38.79,143.9
1.0,0.05,0.06,1.59,1.77,39.14,143.1
2.0,0.0,0.0,17.6,24.07,55.15,143.5
2.0,0.0,0.03,7.41,29.76,44.96,141.7
2.0,0.0,0.06,4.74,4.6,42.29,143.0
2.0,0.005,0.0,4.32,3.08,41.87,146.5
2.0,0.005,0.03,4.32,3.56,41.87,143.5
2.0,0.005,0.06,4.83,8.27,42.38,144.3
2.0,0.01,0.0,5.53,4.49,43.08,142.7
2.0,0.01,0.03,2.8,2.44,40.35,143.6
2.0,0.01,0.06,3.62,3.18,41.14,146.1
2.0,0.02,0.0,1.37,1.51,38.9,155.1
2.0,0.02,0.03,1.29,1.8,38.82,1490.7
2.0,0.02,0.06,1.37,1.94,38.92,263.0
2.0,0.05,0.0,1.35,1.51,38.9,239.0
2.0,0.05,0.03,1.04,1.42,38.59,286.6
2.0,0.05,0.06,1.12,1.59,38.67,291.5
4.0,0.0,0.0,6.12,8.17,43.67,280.6
4.0,0.0,0.03,4.3,28.68,41.85,241.3
4.0,0.0,0.06,11.13,15.87,48.68,247.7
4.0,0.005,0.0,8.6,5.19,46.15,238.6
4.0,0.005,0.03,1.66,2.03,39.18,247.0
4.0,0.005,0.06,6.18,8.08,43.7,283.7
4.0,0.01,0.0,2.29,3.28,39.81,275.0
4.0,0.01,0.03,1.99,1.72,39.54,226.6
4.0,0.01,0.06,2.56,1.61,40.06,249.6
4.0,0.02,0.0,1.3,1.89,38.85,245.8
4.0,0.02,0.03,7.67,5.55,45.22,246.8
4.0,0.02,0.06,1.05,1.43,38.57,256.4
4.0,0.05,0.0,0.83,1.17,38.33,265.7
4.0,0.05,0.03,1.0,1.71,38.54,238.9
4.0,0.05,0.06,1.91,1.46,39.46,254.1
8.0,0.0,0.0,5.47,35.85,43.02,245.1
8.0,0.0,0.03,4.13,14.5,41.68,276.9
8.0,0.0,0.06,4.45,4.23,42.0,276.5
8.0,0.005,0.0,3.09,3.52,40.64,263.1
8.0,0.005,0.03,2.16,2.5,39.7,277.3
8.0,0.005,0.06,1.77,1.44,39.32,257.3
8.0,0.01,0.0,3.61,2.66,41.16,262.5
8.0,0.01,0.03,1.78,2.08,39.32,268.5
8.0,0.01,0.06,2.64,1.62,40.16,242.3
8.0,0.02,0.0,2.9,2.6,40.43,250.0
8.0,0.02,0.03,1.35,1.96,38.88,255.3
8.0,0.02,0.06,1.6,3.15,39.12,252.4
8.0,0.05,0.0,1.28,1.39,38.83,241.6
8.0,0.05,0.03,1.17,1.86,38.68,292.2
8.0,0.05,0.06,1.05,1.05,38.6,232.0
