epoch,train_loss,val_loss,train_accuracy,val_accuracy,precision,recall,f1,efficiency
1,3.794729,3.392626,0.048062,0.075,0.015141,0.075,0.022277,0.075
2,3.227988,3.007232,0.074188,0.1255,0.042854,0.1255,0.055851,0.1255
3,3.016739,2.868008,0.09675,0.12,0.030438,0.12,0.044764,0.12
4,2.839242,2.63906,0.122938,0.185,0.073319,0.185,0.09345,0.185
5,2.658393,2.50682,0.160688,0.20525,0.091202,0.20525,0.109112,0.20525
6,2.328225,2.519897,0.259062,0.216,0.103137,0.216,0.125561,0.216
7,1.827617,2.355549,0.403688,0.2875,0.173239,0.2875,0.195361,0.2875
8,1.442742,1.573698,0.52375,0.41075,0.316446,0.41075,0.332317,0.41075
9,1.109697,1.479321,0.636312,0.4475,0.372613,0.4475,0.378969,0.4475
10,0.868282,3.666881,0.712563,0.348,0.271315,0.348,0.286549,0.348
11,0.736766,1.82523,0.748125,0.4975,0.409343,0.4975,0.42656,0.4975
12,0.656375,0.723906,0.774813,0.7445,0.684612,0.7445,0.691379,0.7445
13,0.611062,0.798841,0.7865,0.704,0.65703,0.704,0.663422,0.704
14,0.50752,1.208488,0.820813,0.58925,0.500085,0.58925,0.520697,0.58925
15,0.506464,1.657458,0.820625,0.64375,0.575132,0.64375,0.585496,0.64375
16,0.457787,2.608037,0.8335,0.50775,0.430384,0.50775,0.439843,0.50775
17,0.409412,3.236277,0.852938,0.487,0.393663,0.487,0.415753,0.487
18,0.475217,3.93272,0.826813,0.41625,0.336958,0.41625,0.350353,0.41625
19,0.401978,6.793461,0.8535,0.336,0.259302,0.336,0.266028,0.336
20,0.370185,3.961572,0.865062,0.42575,0.329152,0.42575,0.347036,0.42575
21,0.362722,0.837328,0.865062,0.6885,0.624539,0.6885,0.635635,0.6885
22,0.364925,2.393462,0.86675,0.60625,0.534703,0.60625,0.542071,0.60625
23,0.335826,1.848936,0.8775,0.614,0.531713,0.614,0.549101,0.614
24,0.325249,1.170083,0.881938,0.648,0.563914,0.648,0.582487,0.648
25,0.310216,0.605686,0.885813,0.80975,0.76739,0.80975,0.771463,0.80975
26,0.293568,1.708405,0.8915,0.5825,0.486354,0.5825,0.503078,0.5825
27,0.284019,1.376733,0.8955,0.677,0.621538,0.677,0.62682,0.677
28,0.268609,2.208333,0.900563,0.551,0.438674,0.551,0.465552,0.551
29,0.279411,1.803762,0.897687,0.663,0.5977,0.663,0.601502,0.663
30,0.24316,3.104228,0.911375,0.5335,0.444981,0.5335,0.46162,0.5335
31,0.238047,5.794583,0.911313,0.47575,0.385168,0.47575,0.404578,0.47575
32,0.241628,3.53663,0.90975,0.49425,0.410207,0.49425,0.42406,0.49425
33,0.231765,3.869881,0.913625,0.46,0.356081,0.46,0.378466,0.46
34,0.21928,0.751113,0.918063,0.7635,0.70419,0.7635,0.713947,0.7635
35,0.186537,2.656549,0.930062,0.559,0.482424,0.559,0.493437,0.559
36,0.243274,2.351199,0.906937,0.5555,0.455614,0.5555,0.470888,0.5555
37,0.230071,5.598882,0.913813,0.40125,0.307634,0.40125,0.323584,0.40125
38,0.201612,1.039322,0.923375,0.7245,0.65371,0.7245,0.670225,0.7245
39,0.175891,1.524112,0.933,0.62475,0.533148,0.62475,0.556114,0.62475
40,0.180957,5.330313,0.932,0.39925,0.332389,0.39925,0.331703,0.39925
41,0.099804,0.296389,0.966937,0.885,0.859167,0.885,0.8665,0.885
42,0.087242,0.14942,0.969187,0.9255,0.917041,0.9255,0.91199,0.9255
43,0.078534,0.107817,0.972188,0.959,0.956474,0.959,0.951198,0.959
44,0.077629,0.798454,0.971875,0.80275,0.749432,0.80275,0.7619,0.80275
45,0.092123,1.101671,0.965187,0.74275,0.695872,0.74275,0.694261,0.74275
46,0.082831,6.461865,0.969625,0.42575,0.336188,0.42575,0.34882,0.42575
47,0.092118,0.263692,0.966062,0.8795,0.841566,0.8795,0.851416,0.8795
48,0.076771,1.183089,0.974937,0.73675,0.675957,0.73675,0.685098,0.73675
49,0.0767,0.541599,0.973688,0.83825,0.798068,0.83825,0.806299,0.83825
50,0.067833,0.423658,0.976125,0.8675,0.839509,0.8675,0.841588,0.8675
