shot,p_bump,a4_nn,a4_nn_sigma,a4_refined,resid_rms_before,resid_rms_after,a1_refined,a2_refined,a3_refined,a5_refined,a6_refined
10084_cv,0.7781647443771362,30.101313,9.501738,19.999999999997964,0.001983115915209055,0.0017159129492938519,0.10014639729991755,0.010074265425268809,86.63393896123299,4.976639957963893,20.269457727728316
10084_ch,0.8119263648986816,37.86141,11.483217,19.999999999999996,0.004876705352216959,0.0047241514548659325,0.10061989439818553,0.9999999999577902,99.99997039192999,4.999999999999999,20.00002275305494
11696_cv,4.918611921311822e-06,1.0,6.4960938,,,,,,,,
11696_ch,0.030376315116882324,1.0,6.4960938,,,,,,,,
11705_cv,0.9999980926513672,17.735317,8.609492,19.999999968651416,0.0036009380128234625,0.0034077130258083344,426.15954899349276,0.9999999999999999,9.952303764544546,0.10000000000000002,42.920647242244506
11705_ch,0.9971736669540405,24.883188,10.029358,19.999999999999996,0.0035852447617799044,0.003513244679197669,499.99999999999994,0.9999999999962886,5.000000000000001,2.4507916053607586,20.000316925987438
11707_cv,0.8364900350570679,17.896088,9.385077,19.382920388653915,0.0025406961794942617,0.0024777252692729235,147.05451196887884,0.9999999999999867,12.241179796128739,0.10000091890438807,20.00000067858575
11707_ch,0.985197901725769,33.850945,7.8507004,19.999999999999996,0.0028143534436821938,0.0027377528604120016,499.90117881759056,0.999999999999306,8.767357866183213,4.999999999999721,20.00000102612566
11716_cv,0.9817014932632446,27.43642,6.666304,19.999999999999936,0.002270948141813278,0.002040809951722622,12.313418728253628,0.9993831813237329,99.28608183718508,4.999404547091889,21.22565091155814
11716_ch,0.9994344711303711,32.150124,6.7430406,19.999999999999996,0.0023632431402802467,0.0021102693863213062,1.1537365515287092,0.9999980900804802,99.00025115422474,4.9999999999719345,20.080950116531614
11733_cv,0.8708532452583313,34.665936,7.635342,19.999999999999996,0.0036703930236399174,0.003382919356226921,499.9953564497262,0.010000000000000002,5.000000000133638,0.10119208462565621,20.000000002111616
11733_ch,0.9903863072395325,36.20829,7.90856,19.999999999999996,0.003770869690924883,0.003570179920643568,0.15731201938166636,0.9994787061683161,99.81372163327266,4.999850122623887,20.242521912937143
11698_cv,0.8877255320549011,28.129017,13.342368,12.919988560504697,0.002091498114168644,0.0020325463265180588,3.2504585446026937,0.010000001024996754,97.68504805114438,0.1000018743245527,20.000000044471452
11698_ch,0.9877729415893555,43.672554,7.5017304,19.999999999999996,0.002390932757407427,0.0021856820676475763,0.18752540827408207,0.9992217352831976,99.09373153290684,4.999999999993002,28.64363817350674
