peak_frac,early_frac,sat_frac,shot
0.03,0.5550423860549927,0.0,synth_0
0.025,0.5570753216743469,0.0,synth_1
0.005,0.593375563621521,0.035,synth_2
0.005,0.6275623440742493,0.0,synth_3
0.02,0.5717673301696777,0.015,synth_4
0.02,0.5914181470870972,0.0,synth_5
0.035,0.6075332760810852,0.0,synth_6
0.03,0.5788280367851257,0.0,synth_7
0.03,0.6145406365394592,0.0,synth_8
0.01,0.6536925435066223,0.025,synth_9
0.02,0.5855595469474792,0.02,synth_10
0.01,0.5475798845291138,0.04,synth_11
0.01,0.5640791654586792,0.045,synth_12
0.02,0.563495934009552,0.0,synth_13
0.005,0.642536997795105,0.015,synth_14
0.025,0.5609873533248901,0.0,synth_15
0.015,0.587805986404419,0.015,synth_16
0.015,0.57939612865448,0.0,synth_17
0.01,0.6361810564994812,0.005,synth_18
0.015,0.6343132257461548,0.0,synth_19
0.01,0.6564463376998901,0.0,synth_20
0.02,0.5913543701171875,0.0,synth_21
0.005,0.5607961416244507,0.06,synth_22
0.025,0.5925053358078003,0.0,synth_23
0.015,0.5723752379417419,0.0,synth_24
0.035,0.6281847357749939,0.0,synth_25
0.015,0.5673068761825562,0.04,synth_26
0.01,0.6132781505584717,0.02,synth_27
0.005,0.5787262320518494,0.07,synth_28
0.025,0.6121547222137451,0.0,synth_29
0.01,0.5675509572029114,0.045,synth_30
0.0,0.6479308605194092,0.03,synth_31
0.015,0.5864161849021912,0.0,synth_32
0.035,0.6181842684745789,0.0,synth_33
0.015,0.6150079369544983,0.0,synth_34
0.025,0.5523326992988586,0.0,synth_35
0.055,0.587722659111023,0.0,synth_36
0.015,0.5841033458709717,0.0,synth_37
0.025,0.5873993039131165,0.0,synth_38
0.01,0.573607861995697,0.0,synth_39
0.045,0.5657023191452026,0.0,synth_40
0.02,0.5863077044487,0.0,synth_41
0.02,0.6266657114028931,0.0,synth_42
0.005,0.5898582339286804,0.055,synth_43
0.035,0.5398057103157043,0.0,synth_44
0.0,0.6141387820243835,0.0,synth_45
0.01,0.6357329487800598,0.0,synth_46
0.015,0.6284300088882446,0.0,synth_47
0.005,0.5601704120635986,0.06,synth_48
0.01,0.6295201182365417,0.025,synth_49
0.025,0.5806119441986084,0.0,synth_50
0.005,0.5810530781745911,0.005,synth_51
0.025,0.5775075554847717,0.0,synth_52
0.01,0.6282152533531189,0.0,synth_53
0.02,0.5849384069442749,0.0,synth_54
0.005,0.6069065928459167,0.04,synth_55
0.01,0.6187555193901062,0.0,synth_56
0.045,0.6133038997650146,0.0,synth_57
0.005,0.6833232641220093,0.0,synth_58
0.04,0.5827157497406006,0.0,synth_59
0.005,0.6486203074455261,0.025,synth_60
0.01,0.6144780516624451,0.0,synth_61
0.01,0.6175447702407837,0.0,synth_62
0.01,0.6292518973350525,0.0,synth_63
0.0,0.610565185546875,0.0,synth_64
0.015,0.580744743347168,0.0,synth_65
0.01,0.5693008303642273,0.045,synth_66
0.04,0.5627875328063965,0.0,synth_67
0.03,0.5548336505889893,0.0,synth_68
0.04,0.6218460202217102,0.0,synth_69
0.0,0.5888898968696594,0.06,synth_70
0.005,0.5848836898803711,0.05,synth_71
0.015,0.6692097783088684,0.0,synth_72
0.01,0.6105093955993652,0.0,synth_73
0.01,0.5901233553886414,0.0,synth_74
0.005,0.5908279418945312,0.06,synth_75
0.01,0.6398307681083679,0.0,synth_76
0.01,0.6293376088142395,0.0,synth_77
0.025,0.6439469456672668,0.005,synth_78
0.025,0.583243191242218,0.0,synth_79
0.005,0.5580820441246033,0.06,synth_80
0.005,0.6821637749671936,0.01,synth_81
0.01,0.5848756432533264,0.035,synth_82
0.005,0.5923188924789429,0.085,synth_83
0.005,0.6440181732177734,0.025,synth_84
0.01,0.6547807455062866,0.0,synth_85
0.02,0.6703206896781921,0.0,synth_86
0.015,0.5426619052886963,0.055,synth_87
0.025,0.5928689241409302,0.0,synth_88
0.02,0.6234118342399597,0.0,synth_89
0.005,0.6343279480934143,0.0,synth_90
0.015,0.6274862885475159,0.01,synth_91
0.025,0.5812749266624451,0.0,synth_92
0.015,0.6116288900375366,0.0,synth_93
0.01,0.5818012356758118,0.02,synth_94
0.015,0.6377831101417542,0.0,synth_95
0.005,0.6290193796157837,0.035,synth_96
0.005,0.5227149128913879,0.085,synth_97
0.005,0.6004881858825684,0.0,synth_98
0.015,0.5610453486442566,0.05,synth_99
0.035,0.5780811309814453,0.0,synth_100
0.0,0.644591212272644,0.0,synth_101
0.03,0.603557288646698,0.0,synth_102
0.015,0.6314983367919922,0.0,synth_103
0.025,0.614794135093689,0.0,synth_104
0.01,0.6332463622093201,0.01,synth_105
0.02,0.6506355404853821,0.0,synth_106
0.01,0.6452274918556213,0.0,synth_107
0.015,0.6124323010444641,0.0,synth_108
0.0,0.6294495463371277,0.0,synth_109
0.05,0.6328953504562378,0.0,synth_110
0.015,0.6221797466278076,0.0,synth_111
0.025,0.6211578249931335,0.0,synth_112
0.02,0.558014988899231,0.0,synth_113
0.025,0.6347355842590332,0.0,synth_114
0.03,0.6257340312004089,0.0,synth_115
0.025,0.5980657935142517,0.0,synth_116
0.005,0.6215522289276123,0.0,synth_117
0.025,0.5958040952682495,0.0,synth_118
0.015,0.6121222376823425,0.0,synth_119
0.035,0.5831530094146729,0.0,synth_120
0.005,0.5996251702308655,0.065,synth_121
0.0,0.6083803772926331,0.04,synth_122
0.03,0.6052932143211365,0.0,synth_123
0.01,0.6537173986434937,0.0,synth_124
0.025,0.5699943900108337,0.0,synth_125
0.02,0.6038987040519714,0.0,synth_126
0.045,0.5604476928710938,0.005,synth_127
0.015,0.5280611515045166,0.06,synth_128
0.02,0.5779667496681213,0.02,synth_129
0.005,0.6393780708312988,0.0,synth_130
