shot,a1_sigma_v1,a2_sigma_v1,a3_sigma_v1,a4_sigma_v1,a5_sigma_v1,a1_sigma_v2,a2_sigma_v2,a3_sigma_v2,a4_sigma_v2,a5_sigma_v2,p_bump_v2,a1_sigma_v3_a4_500k,a2_sigma_v3_a4_500k,a3_sigma_v3_a4_500k,a4_sigma_v3_a4_500k,a5_sigma_v3_a4_500k,p_bump_v3_a4_500k,a1_sigma_v3_a5_1M,a2_sigma_v3_a5_1M,a3_sigma_v3_a5_1M,a4_sigma_v3_a5_1M,a5_sigma_v3_a5_1M,p_bump_v3_a5_1M,a1_sigma_v3,a2_sigma_v3,a3_sigma_v3,a4_sigma_v3,a5_sigma_v3,p_bump_v3
10084_cv,3.3682995,146.92903,6.0408735,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,137.19093,0.13524772,13.793967,9.616023,22.490538,0.84486085,126.021774,0.13398193,10.302834,11.785638,20.571903,0.3109555,126.021774,0.13398193,10.302834,11.785638,20.571903,0.3109555
10084_ch,3.3682995,146.92903,14841.316,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,69.51135,0.13655047,13.533528,6.4960938,13.033234,1.0,76.2348,0.13668644,13.53578,6.4960938,28.383062,0.9997497,76.2348,0.13668644,13.53578,6.4960938,28.383062,0.9997497
11696_cv,3.3682995,146.92903,14841.316,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,132.33702,0.13398193,0.0007264049,6.4960938,167.43965,1.7145446e-09,139.78394,0.13398193,0.07778325,6.4960938,14.762389,2.976542e-05,139.78394,0.13398193,0.07778325,6.4960938,14.762389,2.976542e-05
11696_ch,3.3682995,146.92903,0.6737946,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,122.794,0.13398193,0.009534893,6.4960938,12.859829,1.6143042e-07,90.74795,0.13398193,19.200747,6.4960938,14.452237,0.6969971,90.74795,0.13398193,19.200747,6.4960938,14.452237,0.6969971
11705_cv,3.3682995,146.92903,14841.316,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,86.36392,0.13457881,13.191726,6.4960938,13.399093,0.92440355,94.46094,0.13486685,13.533155,6.4960938,13.180583,0.99987435,94.46094,0.13486685,13.533155,6.4960938,13.180583,0.99987435
11705_ch,3.3682995,146.92903,0.6737946,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,88.74967,0.134008,13.504121,6.4960938,13.117601,0.99397296,118.68835,0.13406959,13.533932,6.4960938,14.218099,0.9999466,118.68835,0.13406959,13.533932,6.4960938,14.218099,0.9999466
11707_cv,3.3682995,146.92903,14841.316,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,101.42602,0.1638146,13.434853,6.4960938,14.085465,0.9143293,125.90183,0.13553523,12.755652,6.4960938,18.564812,0.59278136,125.90183,0.13553523,12.755652,6.4960938,18.564812,0.59278136
11707_ch,3.3682995,2.623549,0.6737946,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,114.00037,0.21028271,13.672221,6.4960966,18.68877,0.8728888,123.71027,0.19179215,13.540779,6.7438617,16.529669,0.9953276,123.71027,0.19179215,13.540779,6.7438617,16.529669,0.9953276
11716_cv,3.3682995,0.012106341,0.6737946,2.699593,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,108.14674,0.23547263,13.679108,6.4960938,15.504407,0.9687274,119.42769,0.23618655,13.551387,6.700778,21.12549,0.6714577,119.42769,0.23618655,13.551387,6.700778,21.12549,0.6714577
11716_ch,3.3682995,0.020436352,0.6737946,0.38255525,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,95.60374,0.18022057,13.591187,6.4960938,17.027866,0.9851323,117.4975,0.22104993,14.183993,6.4964604,20.32441,0.74697495,117.4975,0.22104993,14.183993,6.4964604,20.32441,0.74697495
11733_cv,3.3682995,0.006670567,0.6737946,7123.832,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,87.28059,0.17122455,13.535344,6.4960938,19.399572,0.9995376,88.41728,0.18575433,13.54077,6.4960938,21.052374,0.99720424,88.41728,0.18575433,13.54077,6.4960938,21.052374,0.99720424
11733_ch,3.3682995,146.92903,14841.316,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,82.11415,0.15913595,13.534352,6.4960938,23.294987,0.9998087,85.089386,0.17132041,13.537346,6.4960938,20.603172,0.9983481,85.089386,0.17132041,13.537346,6.4960938,20.603172,0.9983481
11698_cv,3.3682995,146.92903,14841.316,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,115.78672,0.13398193,12.527528,9.440204,17.901876,0.5940233,122.52783,0.133982,13.203208,10.843879,21.021976,0.72705185,122.52783,0.133982,13.203208,10.843879,21.021976,0.72705185
11698_ch,3.3682995,49.447216,0.6737946,0.32342142,0.64010495,67.654106,0.13398193,13.533528,6.4960938,12.856852,1.0,79.61755,0.14835356,13.533532,6.4960938,16.556929,0.9999988,100.27764,0.18445627,13.535129,6.5136814,17.359016,0.9995271,100.27764,0.18445627,13.535129,6.5136814,17.359016,0.9995271
