epoch,train_loss,val_loss,train_accuracy,val_accuracy,precision,recall,f1,efficiency
1,0.875104,1.837287,0.71875,0.2,0.075,0.2,0.106667,0.2
2,0.450149,1.486225,0.855,0.3,0.183333,0.3,0.216667,0.3
3,0.384418,1.308441,0.88375,0.6,0.475,0.6,0.506667,0.6
4,0.2959,1.094083,0.91875,0.8,0.733333,0.8,0.75,0.8
5,0.319961,0.825648,0.87625,0.6,0.45,0.6,0.5,0.6
6,0.291598,0.539464,0.9075,0.7,0.6,0.7,0.633333,0.7
7,0.270281,0.478041,0.91875,0.8,0.75,0.8,0.766667,0.8
8,0.248858,0.780291,0.9025,0.8,0.733333,0.8,0.75,0.8
9,0.22308,1.034223,0.915,0.6,0.433333,0.6,0.483333,0.6
10,0.218542,1.093116,0.93375,0.6,0.433333,0.6,0.483333,0.6
11,0.205224,0.497659,0.935,0.8,0.7,0.8,0.733333,0.8
12,0.197883,1.015194,0.9375,0.7,0.55,0.7,0.6,0.7
13,0.191715,0.828288,0.945,0.6,0.433333,0.6,0.483333,0.6
14,0.172179,0.571058,0.92875,0.8,0.7,0.8,0.733333,0.8
15,0.159313,0.610513,0.95,0.8,0.7,0.8,0.733333,0.8
16,0.16666,0.150878,0.94125,1.0,1.0,1.0,1.0,1.0
17,0.140249,0.09634,0.9525,1.0,1.0,1.0,1.0,1.0
18,0.126177,0.168133,0.95,0.9,0.85,0.9,0.866667,0.9
19,0.111815,0.279748,0.95,0.8,0.7,0.8,0.733333,0.8
20,0.104158,0.150394,0.94875,0.98,0.983333,0.98,0.979798,0.98
21,0.092429,0.090362,0.9625,1.0,1.0,1.0,1.0,1.0
22,0.082067,0.127425,0.97625,1.0,1.0,1.0,1.0,1.0
23,0.092184,0.165809,0.9625,0.9,0.85,0.9,0.866667,0.9
24,0.099387,0.086492,0.9725,1.0,1.0,1.0,1.0,1.0
25,0.105648,0.235521,0.97625,1.0,1.0,1.0,1.0,1.0
26,0.106858,0.14122,0.9625,0.9,0.85,0.9,0.866667,0.9
27,0.097816,0.170936,0.97625,0.9,0.85,0.9,0.866667,0.9
28,0.074698,0.026588,0.9675,1.0,1.0,1.0,1.0,1.0
29,0.071595,0.036462,0.96625,1.0,1.0,1.0,1.0,1.0
30,0.06677,0.141707,0.9825,1.0,1.0,1.0,1.0,1.0
31,0.10078,0.046214,0.975,1.0,1.0,1.0,1.0,1.0
32,0.107229,0.053365,0.97,1.0,1.0,1.0,1.0,1.0
33,0.084066,0.014871,0.96875,1.0,1.0,1.0,1.0,1.0
34,0.061281,0.011359,0.98375,1.0,1.0,1.0,1.0,1.0
35,0.051188,0.042329,0.99375,1.0,1.0,1.0,1.0,1.0
36,0.052781,0.014279,0.985,1.0,1.0,1.0,1.0,1.0
37,0.053671,0.011046,0.98125,1.0,1.0,1.0,1.0,1.0
38,0.052424,0.744733,0.98,0.9,0.85,0.9,0.866667,0.9
39,0.049109,0.053833,0.9875,1.0,1.0,1.0,1.0,1.0
40,0.052838,0.071389,0.9775,1.0,1.0,1.0,1.0,1.0
41,0.040167,0.009228,0.99875,1.0,1.0,1.0,1.0,1.0
42,0.032928,0.013845,0.99625,1.0,1.0,1.0,1.0,1.0
43,0.03347,0.029763,0.99625,1.0,1.0,1.0,1.0,1.0
44,0.028482,0.016405,0.99875,1.0,1.0,1.0,1.0,1.0
45,0.035247,0.018196,0.9975,1.0,1.0,1.0,1.0,1.0
46,0.030148,0.007115,0.995,1.0,1.0,1.0,1.0,1.0
47,0.024354,0.004673,0.99875,1.0,1.0,1.0,1.0,1.0
48,0.06265,0.007636,0.975,1.0,1.0,1.0,1.0,1.0
49,0.051165,0.036002,0.98625,1.0,1.0,1.0,1.0,1.0
50,0.047598,0.269479,0.98375,0.9,0.85,0.9,0.866667,0.9
51,0.034311,0.22192,0.99375,0.8,0.75,0.8,0.766667,0.8
52,0.026041,0.026394,1.0,1.0,1.0,1.0,1.0,1.0
53,0.03489,0.015806,0.99375,1.0,1.0,1.0,1.0,1.0
54,0.05107,0.04407,0.97875,1.0,1.0,1.0,1.0,1.0
55,0.057402,0.130535,0.98375,0.9,0.85,0.9,0.866667,0.9
56,0.065792,0.023002,0.98375,1.0,1.0,1.0,1.0,1.0
