shot,source_zip,n_bins,mev_per_bin,rank,pred_bin,energy_lo_mev,energy_hi_mev,confidence
Shot_011335_gain16.04,TPW_2017.zip,10,5.0,1,0,0.0,5.0,0.999355
Shot_011335_gain16.04,TPW_2017.zip,10,5.0,2,4,20.0,25.0,0.000453
Shot_011335_gain16.04,TPW_2017.zip,10,5.0,3,5,25.0,30.0,6.8e-05
Shot_011335_gain16.04,TPW_2017.zip,20,2.5,1,0,0.0,2.5,0.999999
Shot_011335_gain16.04,TPW_2017.zip,20,2.5,2,12,30.0,32.5,1e-06
Shot_011335_gain16.04,TPW_2017.zip,20,2.5,3,5,12.5,15.0,0.0
Shot_011335_gain16.04,TPW_2017.zip,50,1.0,1,1,1.0,2.0,0.999949
Shot_011335_gain16.04,TPW_2017.zip,50,1.0,2,0,0.0,1.0,4.4e-05
Shot_011335_gain16.04,TPW_2017.zip,50,1.0,3,24,24.0,25.0,7e-06
Shot_011335_gain16.04,TPW_2017.zip,100,0.5,1,1,0.5,1.0,0.715464
Shot_011335_gain16.04,TPW_2017.zip,100,0.5,2,2,1.0,1.5,0.284536
Shot_011335_gain16.04,TPW_2017.zip,100,0.5,3,42,21.0,21.5,0.0
Shot_011335_gain16.04,TPW_2017.zip,200,0.25,1,4,1.0,1.25,1.0
Shot_011335_gain16.04,TPW_2017.zip,200,0.25,2,5,1.25,1.5,0.0
Shot_011335_gain16.04,TPW_2017.zip,200,0.25,3,3,0.75,1.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011337__gain16.04,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,20,2.5,1,7,17.5,20.0,1.0
Shot_011337__gain16.04,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.0
Shot_011337__gain16.04,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011337__gain16.04,TPW_2017.zip,50,1.0,1,39,39.0,40.0,1.0
Shot_011337__gain16.04,TPW_2017.zip,50,1.0,2,0,0.0,1.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011337__gain16.04,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011337__gain16.04,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011339_gain16.04,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011339_gain16.04,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.99982
Shot_011339_gain16.04,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.00018
Shot_011339_gain16.04,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011339_gain16.04,TPW_2017.zip,50,1.0,1,0,0.0,1.0,0.979244
Shot_011339_gain16.04,TPW_2017.zip,50,1.0,2,39,39.0,40.0,0.020756
Shot_011339_gain16.04,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011339_gain16.04,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011339_gain16.04,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011341_gain16.04,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011341_gain16.04,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,10,5.0,3,8,40.0,45.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,20,2.5,1,7,17.5,20.0,1.0
Shot_011341_gain16.04,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.0
Shot_011341_gain16.04,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
