shot,source_zip,n_bins,mev_per_bin,bin_000_0.00_5.00mev,bin_001_5.00_10.00mev,bin_002_10.00_15.00mev,bin_003_15.00_20.00mev,bin_004_20.00_25.00mev,bin_005_25.00_30.00mev,bin_006_30.00_35.00mev,bin_007_35.00_40.00mev,bin_008_40.00_45.00mev,bin_009_45.00_50.00mev
Shot_011335_gain16.04,TPW_2017.zip,10,5.0,0.99935466,2.04e-05,7.55e-06,5.557e-05,0.00045311,6.83e-05,4.22e-06,9.13e-06,3.14e-06,2.405e-05
Shot_011337__gain16.04,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011351_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011353_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011355_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011357_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011359_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Shot_011361_gain8.05,TPW_2017.zip,10,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
shot_011635,tpw18sas.zip,10,5.0,0.97837311,0.00024212,0.0003556,0.01195978,0.00800381,0.00057366,8.33e-05,0.00012722,7.342e-05,0.00020812
shot_011638,tpw18sas.zip,10,5.0,0.93169439,0.00044928,0.00092045,0.04756185,0.01764323,0.00092348,0.00014734,0.00020039,0.00013485,0.00032475
14879_sasb,tpw22sas.zip,10,5.0,0.9994753,1.946e-05,6.29e-06,4.13e-05,0.00036164,6.026e-05,3.51e-06,7.94e-06,2.68e-06,2.179e-05
14903_sasb,tpw22sas.zip,10,5.0,0.99947542,1.945e-05,6.28e-06,4.126e-05,0.00036144,6.024e-05,3.5e-06,7.94e-06,2.67e-06,2.178e-05
14905_sasb,tpw22sas.zip,10,5.0,0.99947518,1.946e-05,6.29e-06,4.131e-05,0.0003617,6.027e-05,3.51e-06,7.94e-06,2.68e-06,2.179e-05
14907_sasb,tpw22sas.zip,10,5.0,0.9994753,1.946e-05,6.28e-06,4.13e-05,0.00036167,6.026e-05,3.51e-06,7.94e-06,2.68e-06,2.179e-05
14909_sasb,tpw22sas.zip,10,5.0,0.99947411,1.948e-05,6.3e-06,4.142e-05,0.00036247,6.035e-05,3.51e-06,7.95e-06,2.68e-06,2.182e-05
