shot,source_zip,n_bins,mev_per_bin,bin_000_0.00_0.50mev,bin_001_0.50_1.00mev,bin_002_1.00_1.50mev,bin_003_1.50_2.00mev,bin_004_2.00_2.50mev,bin_005_2.50_3.00mev,bin_006_3.00_3.50mev,bin_007_3.50_4.00mev,bin_008_4.00_4.50mev,bin_009_4.50_5.00mev,bin_010_5.00_5.50mev,bin_011_5.50_6.00mev,bin_012_6.00_6.50mev,bin_013_6.50_7.00mev,bin_014_7.00_7.50mev,bin_015_7.50_8.00mev,bin_016_8.00_8.50mev,bin_017_8.50_9.00mev,bin_018_9.00_9.50mev,bin_019_9.50_10.00mev,bin_020_10.00_10.50mev,bin_021_10.50_11.00mev,bin_022_11.00_11.50mev,bin_023_11.50_12.00mev,bin_024_12.00_12.50mev,bin_025_12.50_13.00mev,bin_026_13.00_13.50mev,bin_027_13.50_14.00mev,bin_028_14.00_14.50mev,bin_029_14.50_15.00mev,bin_030_15.00_15.50mev,bin_031_15.50_16.00mev,bin_032_16.00_16.50mev,bin_033_16.50_17.00mev,bin_034_17.00_17.50mev,bin_035_17.50_18.00mev,bin_036_18.00_18.50mev,bin_037_18.50_19.00mev,bin_038_19.00_19.50mev,bin_039_19.50_20.00mev,bin_040_20.00_20.50mev,bin_041_20.50_21.00mev,bin_042_21.00_21.50mev,bin_043_21.50_22.00mev,bin_044_22.00_22.50mev,bin_045_22.50_23.00mev,bin_046_23.00_23.50mev,bin_047_23.50_24.00mev,bin_048_24.00_24.50mev,bin_049_24.50_25.00mev,bin_050_25.00_25.50mev,bin_051_25.50_26.00mev,bin_052_26.00_26.50mev,bin_053_26.50_27.00mev,bin_054_27.00_27.50mev,bin_055_27.50_28.00mev,bin_056_28.00_28.50mev,bin_057_28.50_29.00mev,bin_058_29.00_29.50mev,bin_059_29.50_30.00mev,bin_060_30.00_30.50mev,bin_061_30.50_31.00mev,bin_062_31.00_31.50mev,bin_063_31.50_32.00mev,bin_064_32.00_32.50mev,bin_065_32.50_33.00mev,bin_066_33.00_33.50mev,bin_067_33.50_34.00mev,bin_068_34.00_34.50mev,bin_069_34.50_35.00mev,bin_070_35.00_35.50mev,bin_071_35.50_36.00mev,bin_072_36.00_36.50mev,bin_073_36.50_37.00mev,bin_074_37.00_37.50mev,bin_075_37.50_38.00mev,bin_076_38.00_38.50mev,bin_077_38.50_39.00mev,bin_078_39.00_39.50mev,bin_079_39.50_40.00mev,bin_080_40.00_40.50mev,bin_081_40.50_41.00mev,bin_082_41.00_41.50mev,bin_083_41.50_42.00mev,bin_084_42.00_42.50mev,bin_085_42.50_43.00mev,bin_086_43.00_43.50mev,bin_087_43.50_44.00mev,bin_088_44.00_44.50mev,bin_089_44.50_45.00mev,bin_090_45.00_45.50mev,bin_091_45.50_46.00mev,bin_092_46.00_46.50mev,bin_093_46.50_47.00mev,bin_094_47.00_47.50mev,bin_095_47.50_48.00mev,bin_096_48.00_48.50mev,bin_097_48.50_49.00mev,bin_098_49.00_49.50mev,bin_099_49.50_50.00mev
Shot_011335_gain16.04,TPW_2017.zip,100,0.5,0.0,0.71546447,0.28453553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011337__gain16.04,TPW_2017.zip,100,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,100,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,100,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,100,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,100,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,100,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,100,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011351_gain8.05,TPW_2017.zip,100,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011353_gain8.05,TPW_2017.zip,100,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
