shot,source_zip,n_bins,mev_per_bin,bin_000_0.00_2.50mev,bin_001_2.50_5.00mev,bin_002_5.00_7.50mev,bin_003_7.50_10.00mev,bin_004_10.00_12.50mev,bin_005_12.50_15.00mev,bin_006_15.00_17.50mev,bin_007_17.50_20.00mev,bin_008_20.00_22.50mev,bin_009_22.50_25.00mev,bin_010_25.00_27.50mev,bin_011_27.50_30.00mev,bin_012_30.00_32.50mev,bin_013_32.50_35.00mev,bin_014_35.00_37.50mev,bin_015_37.50_40.00mev,bin_016_40.00_42.50mev,bin_017_42.50_45.00mev,bin_018_45.00_47.50mev,bin_019_47.50_50.00mev
Shot_011335_gain16.04,TPW_2017.zip,20,2.5,0.99999905,0.0,0.0,0.0,2e-08,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,5e-08
Shot_011337__gain16.04,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011339_gain16.04,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998197,0.00018028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011341_gain16.04,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99984801,0.00015194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93756557,0.06243441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99246794,0.00753205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011349_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99981707,0.00018299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011351_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99996531,3.471e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011353_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99955446,0.00044553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011355_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994399,0.00056012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011357_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99950159,0.0004984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011359_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99972755,0.0002724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shot_011361_gain8.05,TPW_2017.zip,20,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97190678,0.02809319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shot_011635,tpw18sas.zip,20,2.5,0.26595396,1e-08,0.0,0.0,2.6e-07,0.32315221,0.4108927,7.7e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3e-07
shot_011638,tpw18sas.zip,20,2.5,0.00560679,0.0,0.0,0.0,2e-08,0.63618594,0.35820729,4e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14879_sasb,tpw22sas.zip,20,2.5,0.99999785,0.0,0.0,0.0,4e-08,9e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.03e-06,0.0,0.0,0.0,0.0,0.0,0.0,8e-08
14903_sasb,tpw22sas.zip,20,2.5,0.99999785,0.0,0.0,0.0,4e-08,9e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.03e-06,0.0,0.0,0.0,0.0,0.0,0.0,8e-08
14905_sasb,tpw22sas.zip,20,2.5,0.99999785,0.0,0.0,0.0,4e-08,9e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.03e-06,0.0,0.0,0.0,0.0,0.0,0.0,8e-08
14907_sasb,tpw22sas.zip,20,2.5,0.99999785,0.0,0.0,0.0,4e-08,9e-08,0.0,0.0,0.0,0.0,0.0,0.0,2.03e-06,0.0,0.0,0.0,0.0,0.0,0.0,8e-08
14909_sasb,tpw22sas.zip,20,2.5,0.99999785,0.0,0.0,0.0,4e-08,9e-08,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,8e-08
